questionText,optionA,optionB,optionC,optionD,correctAnswer,category,topic
What is 25 × 25 using the Vedic Math method?,625,650,525,600,A,Vedic Math,Multiplication
What is 35 × 35?,1225,1250,1125,1325,A,Vedic Math,Multiplication
What is 45 × 45?,2025,2005,2125,1925,A,Vedic Math,Multiplication
What is 65 × 65?,4225,4125,4325,4255,A,Vedic Math,Multiplication
What is 75 × 75?,5625,5525,5725,5650,A,Vedic Math,Multiplication
What is 95 × 95?,9025,9125,8925,9005,A,Vedic Math,Multiplication
What is 99 × 98?,9702,9802,9602,9720,A,Vedic Math,Multiplication
What is 98 × 97?,9506,9406,9606,9508,A,Vedic Math,Multiplication
What is 97 × 96?,9312,9212,9412,9306,A,Vedic Math,Multiplication
What is 88 × 92?,8096,8196,7996,8086,A,Vedic Math,Multiplication
What is 103 × 104?,10712,10612,10812,10702,A,Vedic Math,Multiplication
What is 102 × 105?,10710,10610,10810,10705,A,Vedic Math,Multiplication
What is 999 + 876?,1875,1775,1885,1865,A,Vedic Math,Addition
What is 1000 − 467?,533,543,523,537,A,Vedic Math,Subtraction
What is 10000 − 2789?,7211,7111,7311,7291,A,Vedic Math,Subtraction
What is 11 × 23 using the Vedic Math method?,253,243,263,233,A,Vedic Math,Multiplication
What is 11 × 45?,495,485,505,490,A,Vedic Math,Multiplication
What is 11 × 72?,792,782,802,772,A,Vedic Math,Multiplication
What is 15 × 15?,225,215,235,250,A,Vedic Math,Multiplication
What is 125 × 8?,1000,900,1100,800,A,Vedic Math,Multiplication
